Rank,Name,,Country,Qualification,Final
1,OCEANIA,MACKENZIE,AUS,1,1
2,ANGIE,SCARTH-JOHNSON,AUS,48,12
3,ELLA,EASTON,AUS,30,42
4,SIOBHAN,DOBIE,AUS,24,64
5,LUCINDA ANN,STIRLING,AUS,72,147
6,MIA,WEEDA,AUS,280,150
7,CIRRUS,TAN,NZL,392,240
8,LEAH,JEFFRIES,AUS,360,384
9,ROXY,PERRY,AUS,486,
