Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | 34-  15. [13.42],42-,top,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
2,ADAM,ONDRA,CZE,top  1. | top  1. [8.66],top,45-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
3,DAVID,LAMA,AUT,top  1. | 34-  15. [13.42],33,42-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
4,SACHI,AMMA,JPN,top  1. | top  1. [8.66],32+,41+,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
5,SEAN,MCCOLL,CAN,top  1. | top  1. [8.66],40,37+,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
6,VALERIY,KRYUKOV,UKR,top  1. | top  1. [8.66],41+,34-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
7,CÉDRIC,LACHAT,SUI,top  1. | 34-  15. [13.42],41,32,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
8,TATSUMI,NITTA,JPN,top  1. | 31-  25. [16.43],40+,27-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
9,MANUEL,ROMAIN,FRA,top  1. | top  1. [8.66],32,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
9,SANGWON,SON,KOR,top  1. | top  1. [8.66],32,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
11,EVGENY,OVCHINNIKOV,RUS,33-  33. | top  1. [15.85],32,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
12,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [8.66],32-,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
13,AKITO,MATSUSHIMA,JPN,38-  20. | 30+  30. [26.40],32-,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
14,THOMAS,TAUPORN,GER,top  1. | 32-  24. [15.49],31+,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
15,ROMAIN,DESGRANGES,FRA,top  1. | 34-  15. [13.42],30,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
16,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [8.66],29,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
17,KLEMEN,BECAN,SLO,36-  24. | top  1. [13.83],29,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
18,TOMÁS,MRÁZEK,CZE,top  1. | 34-  15. [13.42],28,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
19,FABIEN,COMINA,FRA,35+  28. | top  1. [14.49],28-,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
20,HYUNBIN,MIN,KOR,top  1. | top  1. [8.66],27+,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
21,FLAVIO,CRESPI,ITA,top  1. | 33   22. [14.83],22-,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
22,ERIC,LOPEZ MATEOS,ESP,36-  24. | 31-  25. [26.24],22-,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
23,MARKUS,HOPPE,GER,36-  24. | 34-  15. [21.42],19,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
24,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [8.66],9-,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
