Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
54,NATHAN,MARTIN,LUX,14.07,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
55,MIKEL ASIER,LINACISORO MOLINA,ESP,11.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
56,SLAV,KIROV,BUL,10.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
57,GUY,MCNAMEE,CAN,9.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
58,EDVARDS,GRUZITIS,LAT,9.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
59,NIMRÓD SEBESTYÉN,TUSNÁDY,HUN,8.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
60,GIORGIO,TOMATIS,ITA,7.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
60,PUTRA,TRI RAMADANI,INA,7.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
62,GERGŐ,VÁLYI,HUN,6.57,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
63,MUSAUWIR,MUSAUWIR,INA,5.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
64,HECTOR,LOPEZ VALDEZ,MEX,5.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
64,FREDRIK,SERLACHIUS,SWE,5.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
66,FELIPE,HO FOGANHOLO,BRA,4.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
67,KINDAR,MCNAMEE,CAN,4.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
68,RAM,LEVIN,ISR,4.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
69,MEL,JANSE VAN RENSBURG,RSA,4.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
70,REZA,KOLASANGIAN,IRI,3.57,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
71,DYLAN,PARKS,AUS,3.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
72,MAXIM,PARE,AUS,3.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
73,VICTOR,BAUDRAND,CAN,3.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
74,ARDCH,INTRACHUPONGSE,THA,2.66,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
74,JOAQUIN,URRUTIA,CHI,2.66,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
76,LUKE,GOH WEN BIN,SGP,2.57,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
76,NIKOLAY,RUSEV,BUL,2.57,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
78,MINSUNG,HAN,KOR,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
78,ROMAN,SIVAKOV,LTU,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
78,MYKHAYIL,TKACHUK,UKR,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
81,MUHAMMAD FERZA FERNADA,ABDI,INA,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
81,BENJAMIN,AYALA,CHI,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
81,TEERAPHON,BOONDECH,THA,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
81,JAIR OCTAVIO,MORENO MONTOYA,MEX,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,GUÐMUNDUR FREYR,ARNARSON,ISL,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,SIGRID,BIM,INA,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,LUIS,CASTELLANOS,VEN,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,SANTIAGO,DE ALBA FLORES,MEX,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,ARTYOM,DEVYATERIKOV,KAZ,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,GIANSTEFANO,DI NINO,VEN,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,EMILIO,FLORES,GUA,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,BAUTISTA,GREGORINI,ARG,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,JOVAN,IVANOV,MKD,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,GABRIEL,KERN,SWE,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,DOHYEON,KIM,KOR,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,BOYAN,KIROV,BUL,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,AZAT,MAIKOTOV,KAZ,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,MATEJ,MARKOV,MKD,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,HRITIK,MARNE,IND,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,TULIO,OBREGON,ECU,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,ALEXEY,PANFILOV,KAZ,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,LEÓN,PINO,CHI,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,KENU,PUERTA WONG,PER,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,MUHAMMAD,RIZKY SYAHRAFLI SIMATUPANG,INA,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,MATEUS,RODRIGUES BELLOTTO,BRA,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,BIRGIR ÓLI,SNORRASON,ISL,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,LAUTARO NICOLÁS,SORIA SANCHEZ,ARG,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
