Name,AthleteUrl,Gender,Height,Active,Participations,Age
Euncheol SHIN,https://ifsc.results.info/#/athlete/2099,Men,173,2016,20,24
Flynn CHISHOLM,https://ifsc.results.info/#/athlete/13914,Men,-,2022,8,18
Julian DAVID,https://ifsc.results.info/#/athlete/13915,Men,-,2022,8,18
Marcin DZIENSKI,https://ifsc.results.info/#/athlete/2845,Men,166,2007,129,31
Yaroslav TKACH,https://ifsc.results.info/#/athlete/1511,Men,182,2015,64,22
Danyil BOLDYREV,https://ifsc.results.info/#/athlete/1480,Men,-,2006,85,31
Zach HAMMER,https://ifsc.results.info/#/athlete/13592,Men,-,2022,14,17
Quinn O'FRANCIA,https://ifsc.results.info/#/athlete/11886,Men,175,2019,22,19
Noah BRATSCHI,https://ifsc.results.info/#/athlete/1798,Men,184,2015,30,23
Samuel WATSON,https://ifsc.results.info/#/athlete/13034,Men,178,2021,18,17
John BROSLER,https://ifsc.results.info/#/athlete/1754,Men,179,2012,70,26
Merritt ERNSBERGER,https://ifsc.results.info/#/athlete/1908,Men,173,2017,11,24
Darren SKOLNIK,https://ifsc.results.info/#/athlete/1936,Men,170,2017,19,21
Iris HEIKKINEN,https://ifsc.results.info/#/athlete/13902,Women,-,2022,6,17
Eugenie LEE,https://ifsc.results.info/#/athlete/676,Women,-,2014,15,23
Tseng-shun WONG,https://ifsc.results.info/#/athlete/2229,Women,-,2015,25,22
Wai-mui LING,https://ifsc.results.info/#/athlete/2235,Women,-,2016,10,22
Dasom YUN,https://ifsc.results.info/#/athlete/11805,Women,-,2019,19,18
Seunghyun KIM,https://ifsc.results.info/#/athlete/2051,Women,-,2012,27,26
Chaeyeong KIM,https://ifsc.results.info/#/athlete/14031,Women,150,2022,11,16
Gayeon CHO,https://ifsc.results.info/#/athlete/2081,Women,162,2017,10,21
Jain KIM,https://ifsc.results.info/#/athlete/2035,Women,152,2002,214,35
Vanessa Si Yinn TENG,https://ifsc.results.info/#/athlete/3632,Women,169,2011,37,27
Natalie GOH SIHUI,https://ifsc.results.info/#/athlete/13815,Women,-,2022,9,16
Grace CROWLEY,https://ifsc.results.info/#/athlete/11517,Women,-,2019,23,20
Erica VELEV,https://ifsc.results.info/#/athlete/2445,Women,-,2018,32,21
Di NIU,https://ifsc.results.info/#/athlete/2941,Women,-,2011,78,27
Yafei ZHOU,https://ifsc.results.info/#/athlete/13611,Women,-,2022,10,19
Mi YANG,https://ifsc.results.info/#/athlete/12071,Women,-,2019,7,22
Yuju MOU,https://ifsc.results.info/#/athlete/13609,Women,-,2023,7,18
Shengyan WANG,https://ifsc.results.info/#/athlete/13606,Women,-,2022,10,23
Shaoqin ZHANG,https://ifsc.results.info/#/athlete/14415,Women,-,2023,8,24
Lijuan DENG,https://ifsc.results.info/#/athlete/3014,Women,-,2018,20,23
Andrea ROJAS,https://ifsc.results.info/#/athlete/3209,Women,-,2009,94,28
Abigail RUANO,https://ifsc.results.info/#/athlete/12006,Women,-,2019,15,18
Capucine VIGLIONE,https://ifsc.results.info/#/athlete/569,Women,170,2016,52,21
Victoire ANDRIER,https://ifsc.results.info/#/athlete/511,Women,170,2013,59,27
Aurelia SARISSON,https://ifsc.results.info/#/athlete/488,Women,167,2012,71,26
Lison GAUTRON,https://ifsc.results.info/#/athlete/615,Women,-,2018,21,21
Manon LEBON,https://ifsc.results.info/#/athlete/11594,Women,-,2019,23,18
Franziska RITTER,https://ifsc.results.info/#/athlete/3120,Women,164,2018,37,20
Nurul IQAMAH,https://ifsc.results.info/#/athlete/3290,Women,-,2013,45,28
Rajiah SALLSABILLAH,https://ifsc.results.info/#/athlete/3311,Women,-,2017,29,24
Desak MADE RITA KUSUMA DEWI,https://ifsc.results.info/#/athlete/11357,Women,-,2018,16,23
Shivpreet PANNU,https://ifsc.results.info/#/athlete/2648,Women,-,2017,16,23
Giulia RANDI,https://ifsc.results.info/#/athlete/966,Women,-,2016,55,21
Beatrice COLLI,https://ifsc.results.info/#/athlete/1024,Women,171,2018,55,19
Natsumi HAYASHI,https://ifsc.results.info/#/athlete/13438,Women,-,2022,13,32
Ai TAKEUCHI,https://ifsc.results.info/#/athlete/13436,Women,-,2022,17,18
Fumika KAWAKAMI,https://ifsc.results.info/#/athlete/13045,Women,-,2021,19,17
Haruka KANETANI,https://ifsc.results.info/#/athlete/14073,Women,-,2022,8,17
Karin HAYASHI,https://ifsc.results.info/#/athlete/13437,Women,-,2022,18,18
Anna BALARSHINA,https://ifsc.results.info/#/athlete/13058,Women,-,2021,9,16
Assel MARLENOVA,https://ifsc.results.info/#/athlete/3364,Women,-,2011,67,27
Tamara ULZHABAYEVA,https://ifsc.results.info/#/athlete/3357,Women,-,2001,121,36
Heeju NOH,https://ifsc.results.info/#/athlete/11360,Women,165,2018,15,19
Nawoo CHOI,https://ifsc.results.info/#/athlete/2082,Women,163,2017,16,21
Jimin JEONG,https://ifsc.results.info/#/athlete/13154,Women,-,2018,20,19
Seoyeon PARK,https://ifsc.results.info/#/athlete/2105,Women,160,2016,15,21
Hanareum SUNG,https://ifsc.results.info/#/athlete/13158,Women,158,2022,17,18
Yena PI,https://ifsc.results.info/#/athlete/2110,Women,-,2017,6,21
Ye Jin JUNG,https://ifsc.results.info/#/athlete/14470,Women,-,2023,7,19
Sarah TETZLAFF,https://ifsc.results.info/#/athlete/3759,Women,173,2017,33,23
Jorja RANGI,https://ifsc.results.info/#/athlete/14049,Women,-,2022,4,21
Patrycja CHUDZIAK,https://ifsc.results.info/#/athlete/2857,Women,168,2011,104,26
Aleksandra MIROSLAW,https://ifsc.results.info/#/athlete/2848,Women,162,2009,97,29
Anna BROZEK,https://ifsc.results.info/#/athlete/2855,Women,-,2011,104,28
Aleksandra KALUCKA,https://ifsc.results.info/#/athlete/2878,Women,164,2015,89,22
Natalia KALUCKA,https://ifsc.results.info/#/athlete/2879,Women,165,2015,95,22
Emma HUNT,https://ifsc.results.info/#/athlete/1999,Women,173,2018,24,20
Piper KELLY,https://ifsc.results.info/#/athlete/1888,Women,-,2016,22,24
Callie CLOSE,https://ifsc.results.info/#/athlete/2000,Women,182,2018,20,19
Sophia CURCIO,https://ifsc.results.info/#/athlete/13025,Women,159,2021,17,17
Hayden BARTON,https://ifsc.results.info/#/athlete/13851,Men,-,2022,4,20
