Name,AthleteUrl,Gender,Height,Active,Participations,Age
Liam HEALY,https://ifsc.results.info/#/athlete/2535,Men,-,2017,8,26
Dylan PARKS,https://ifsc.results.info/#/athlete/13853,Men,-,2022,13,18
Stefan SCHERZ,https://ifsc.results.info/#/athlete/1274,Men,179,2015,66,22
Jan-luca POSCH,https://ifsc.results.info/#/athlete/1245,Men,184,2012,83,26
Nicolai UZNIK,https://ifsc.results.info/#/athlete/1256,Men,173,2014,88,23
Jakob SCHUBERT,https://ifsc.results.info/#/athlete/1214,Men,176,2004,233,33
Nicolas COLLIN,https://ifsc.results.info/#/athlete/320,Men,179,2012,137,25
Simon LORENZI,https://ifsc.results.info/#/athlete/318,Men,168,2011,104,26
Hannes VAN DUYSEN,https://ifsc.results.info/#/athlete/373,Men,175,2018,53,19
Rodrigo IASI HANADA,https://ifsc.results.info/#/athlete/12903,Men,-,2021,20,21
Felipe HO FOGANHOLO,https://ifsc.results.info/#/athlete/3141,Men,-,2015,64,24
Slav KIROV,https://ifsc.results.info/#/athlete/11500,Men,-,2019,70,18
Nikolay RUSEV,https://ifsc.results.info/#/athlete/12329,Men,172,2020,48,17
Guy MCNAMEE,https://ifsc.results.info/#/athlete/1646,Men,177,2017,31,21
Oscar BAUDRAND,https://ifsc.results.info/#/athlete/11847,Men,170,2019,36,18
Victor BAUDRAND,https://ifsc.results.info/#/athlete/1644,Men,175,2017,35,21
Christian WAGNER,https://ifsc.results.info/#/athlete/11837,Men,-,2019,27,21
Jinbin HUANG,https://ifsc.results.info/#/athlete/13594,Men,-,2022,15,18
Yufei PAN,https://ifsc.results.info/#/athlete/2947,Men,173,2014,112,23
Anton Young Hong NIELSEN,https://ifsc.results.info/#/athlete/3861,Men,-,2014,15,23
Theis Lindegren ELFENBEIN,https://ifsc.results.info/#/athlete/3854,Men,-,2011,27,26
Alberto GINÉS LÓPEZ,https://ifsc.results.info/#/athlete/811,Men,178,2016,109,21
Axel LINDFORS,https://ifsc.results.info/#/athlete/12459,Men,-,2021,14,32
Leo AVEZOU,https://ifsc.results.info/#/athlete/505,Men,-,2013,56,24
Paul JENFT,https://ifsc.results.info/#/athlete/547,Men,198,2017,58,20
Manuel CORNU,https://ifsc.results.info/#/athlete/490,Men,177,2012,73,30
Mickael MAWEM,https://ifsc.results.info/#/athlete/523,Men,179,2014,88,33
Mejdi SCHALCK,https://ifsc.results.info/#/athlete/11675,Men,172,2019,42,19
Sam AVEZOU,https://ifsc.results.info/#/athlete/532,Men,170,2015,83,22
Mathieu TERNANT,https://ifsc.results.info/#/athlete/11535,Men,178,2019,16,28
Toby ROBERTS,https://ifsc.results.info/#/athlete/11490,Men,177,2019,41,18
James POPE,https://ifsc.results.info/#/athlete/649,Men,167,2012,85,25
Hamish MCARTHUR,https://ifsc.results.info/#/athlete/696,Men,181,2016,61,21
Maximillian MILNE,https://ifsc.results.info/#/athlete/688,Men,166,2015,52,23
Dayan AKHTAR,https://ifsc.results.info/#/athlete/12239,Men,-,2021,12,20
Christoph SCHWEIGER,https://ifsc.results.info/#/athlete/4252,Men,187,2015,36,22
Elias ARRIAGADA KRÜGER,https://ifsc.results.info/#/athlete/11525,Men,169,2019,18,23
Max KLEESATTEL,https://ifsc.results.info/#/athlete/3127,Men,173,2017,31,25
Jan HOJER,https://ifsc.results.info/#/athlete/3422,Men,188,2006,168,31
Yannick FLOHÉ,https://ifsc.results.info/#/athlete/3131,Men,178,2014,113,24
Ka-chun YAU,https://ifsc.results.info/#/athlete/2214,Men,172,2008,85,31
Cheung-chi Shoji CHAN,https://ifsc.results.info/#/athlete/2218,Men,172,2013,101,28
Chingkheinganba MAIBAM,https://ifsc.results.info/#/athlete/2649,Men,-,2016,33,21
Lokesh RAJAN,https://ifsc.results.info/#/athlete/2632,Men,-,2015,4,25
Hossein FAMILROHANI,https://ifsc.results.info/#/athlete/3511,Men,173,2016,18,31
Iman AREZEH,https://ifsc.results.info/#/athlete/12981,Men,177,2021,2,21
Mark SCANLON,https://ifsc.results.info/#/athlete/2601,Men,171,2022,7,24
Ciarán SCANLON,https://ifsc.results.info/#/athlete/2591,Men,174,2013,17,28
Geva LEVIN,https://ifsc.results.info/#/athlete/4019,Men,-,2017,53,20
Alex KHAZANOV,https://ifsc.results.info/#/athlete/3983,Men,-,2009,101,28
Nimrod MARCUS,https://ifsc.results.info/#/athlete/3998,Men,166,2014,95,24
Ram LEVIN,https://ifsc.results.info/#/athlete/3991,Men,171,2012,65,25
Filip SCHENK,https://ifsc.results.info/#/athlete/912,Men,170,2014,93,23
Michael PICCOLRUAZ,https://ifsc.results.info/#/athlete/857,Men,178,2009,136,28
Yoshiyuki OGATA,https://ifsc.results.info/#/athlete/2309,Men,172,2014,136,25
Meichi NARASAKI,https://ifsc.results.info/#/athlete/2307,Men,188,2013,77,24
Ritsu KAYOTANI,https://ifsc.results.info/#/athlete/13987,Men,163,2022,10,17
Tomoaki TAKATA,https://ifsc.results.info/#/athlete/2291,Men,175,2012,64,28
Rei SUGIMOTO,https://ifsc.results.info/#/athlete/2257,Men,172,2005,82,32
Katsura KONISHI,https://ifsc.results.info/#/athlete/2335,Men,-,2015,18,22
Junta SEKIGUCHI,https://ifsc.results.info/#/athlete/11846,Men,168,2019,14,19
Yuji INOUE,https://ifsc.results.info/#/athlete/2348,Men,-,2016,40,28
Tomoa NARASAKI,https://ifsc.results.info/#/athlete/2276,Men,170,2011,114,27
Kokoro FUJII,https://ifsc.results.info/#/athlete/2272,Men,176,2010,141,31
Daiki SANO,https://ifsc.results.info/#/athlete/14314,Men,172,2023,6,20
Sorato ANRAKU,https://ifsc.results.info/#/athlete/13040,Men,168,2021,20,17
Sungsu LEE,https://ifsc.results.info/#/athlete/13147,Men,170,2015,18,24
Shinyeong YUN,https://ifsc.results.info/#/athlete/2061,Men,166,2014,13,28
Dohyun LEE,https://ifsc.results.info/#/athlete/2101,Men,174,2016,50,21
Jongwon CHON,https://ifsc.results.info/#/athlete/2052,Men,177,2012,109,27
Edvards GRUZITIS,https://ifsc.results.info/#/athlete/4168,Men,181,2018,53,20
Nathan MARTIN,https://ifsc.results.info/#/athlete/531,Men,-,2015,58,22
Wan Tong LOK,https://ifsc.results.info/#/athlete/4437,Men,-,2015,26,31
Thilo Jeldrik SCHRÖTER,https://ifsc.results.info/#/athlete/3061,Men,175,2010,45,28
Diego LEQUERICA BUSCAGLIA,https://ifsc.results.info/#/athlete/4397,Men,-,2014,24,28
John Joseph VELORIA,https://ifsc.results.info/#/athlete/3834,Men,158,2018,11,31
Iman MORA,https://ifsc.results.info/#/athlete/3830,Men,171,2018,12,35
Jakub ZIETEK,https://ifsc.results.info/#/athlete/2894,Men,175,2017,54,21
Chua DENNIS,https://ifsc.results.info/#/athlete/3644,Men,-,2014,25,32
Luke GOH WEN BIN,https://ifsc.results.info/#/athlete/3665,Men,-,2016,36,21
Zan LOVENJAK SUDAR,https://ifsc.results.info/#/athlete/1149,Men,179,2013,54,26
Luka POTOCAR,https://ifsc.results.info/#/athlete/1170,Men,177,2016,89,22
Jernej KRUDER,https://ifsc.results.info/#/athlete/1124,Men,179,2004,195,33
Anze PEHARC,https://ifsc.results.info/#/athlete/1138,Men,177,2011,106,26
Sascha LEHMANN,https://ifsc.results.info/#/athlete/4299,Men,164,2012,129,25
Nils FAVRE,https://ifsc.results.info/#/athlete/4306,Men,176,2016,35,32
Hannes PUMAN,https://ifsc.results.info/#/athlete/2667,Men,177,2011,136,26
Ardch INTRACHUPONGSE,https://ifsc.results.info/#/athlete/13627,Men,-,2022,17,19
Ying-chieh WEN,https://ifsc.results.info/#/athlete/10868,Men,-,2012,12,28
Hugo HOYER,https://ifsc.results.info/#/athlete/13030,Men,181,2021,11,16
Dillon COUNTRYMAN,https://ifsc.results.info/#/athlete/13029,Men,164,2021,19,17
Colin DUFFY,https://ifsc.results.info/#/athlete/1929,Men,170,2017,44,20
Zach GALLA,https://ifsc.results.info/#/athlete/1926,Men,168,2017,42,23
Sean BAILEY,https://ifsc.results.info/#/athlete/1741,Men,163,2011,90,27
Jesse GRUPPER,https://ifsc.results.info/#/athlete/1749,Men,180,2012,39,27
Emily SCOTT,https://ifsc.results.info/#/athlete/13510,Women,-,2022,10,17
Maya STASIUK,https://ifsc.results.info/#/athlete/13857,Women,-,2022,10,16
Oceania MACKENZIE,https://ifsc.results.info/#/athlete/2501,Women,173,2016,60,21
Jessica PILZ,https://ifsc.results.info/#/athlete/1226,Women,165,2010,163,27
Johanna FÄRBER,https://ifsc.results.info/#/athlete/1243,Women,171,2012,77,25
