Rank,Name,,Country,Qualification,Final
1,SAMUEL,WATSON,USA,5.49,5.97
2,JINBAO,LONG,CHN,5.73,6.93
3,ERIK,NOYA CARDONA,ESP,5.56,wildcard
4,GIAN LUCA,ZODDA,ITA,5.58,false start
5,JIANGUO,LONG,CHN,5.50,fall
6,RISHAT,KHAIBULLIN,KAZ,5.59,6.40
7,JOHN,BROSLER,USA,5.60,fall
8,YONGJUN,JUNG,KOR,5.67,false start
9,GUILLAUME,MORO,FRA,5.62,5.91
10,RYO,OMASA,JPN,5.69,5.94
11,ETHAN,PITCHER,CAN,5.78,9.44
12,NOAH,BRATSCHI,USA,5.84,false start
13,RICHARD,LI,USA,5.94,8.54
14,LEANDER,CARMANNS,GER,6.060,5.83
15,LUKAS,KNAPP,AUT,6.068,7.78
16,JOE,GOODACRE,USA,6.07,8.83
17,ALESSANDRO,CINGARI,ITA,6.08,
18,MICHAEL,FINN-HENRY,CAN,6.15,
19,MUNEKAZU,KITAMI,JPN,6.22,
20,ALISHER,MURAT,KAZ,6.23,
21,MATTHEW,FALL,GBR,6.26,
22,LINUS,BADER,GER,6.27,
23,HUBERT,PRZYTULA,POL,6.298,
24,HAJIME,TAKEDA,JPN,6.299,
25,MARCO,RONTINI,ITA,6.32,
26,CHEUNG-CHI SHOJI,CHAN,HKG,6.50,
27,PENG,WU,CHN,6.64,
28,JOSHUA,BRUYNS,RSA,6.73,
29,ANDREW,GOODALL,GBR,6.75,
30,CHI-FUNG,AU,HKG,6.76,
31,LUDOVICO,FOSSALI,ITA,6.81,
32,AYUMU,MITA,JPN,7.82,
33,SHUTO,FUJINO,JPN,8.16,
34,AMIR,MAIMURATOV,KAZ,8.33,
35,RAFE,STOKES,GBR,8.41,
36,ALESSANDRO,BOULOS,ITA,9.27,
37,DANYIL,BOLDYREV,UKR,false start,
37,LONG,CAO,CHN,false start,
37,MARCIN,DZIENSKI,POL,false start,
37,ZACH,HAMMER,USA,false start,
37,LIANG,ZHANG,CHN,false start,
