Rank,Name,,Country,Qualification,Final
1,ALEKSANDRA,KALUCKA,POL,7.06,7.47
2,NATALIA,KALUCKA,POL,7.00,fall
3,EMMA,HUNT,USA,7.02 (par),7.28
4,GIULIA,RANDI,ITA,7.698,7.63
5,PATRYCJA,CHUDZIAK,POL,7.579,8.71
6,DI,NIU,CHN,7.67,fall
6,YUFANG,XIE,CHN,7.67,10.41
8,ANNA,BROZEK,POL,7.699,9.11
9,LIJUAN,DENG,CHN,7.24,7.72
10,SHENGYAN,WANG,CHN,7.574,7.57
11,AURELIA,SARISSON,FRA,7.62,8.82
12,CAPUCINE,VIGLIONE,FRA,7.66,7.80
13,BEATRICE,COLLI,ITA,7.691,7.76
14,TAMARA,ULZHABAYEVA,KAZ,8.03,8.01
15,GUIZHEN,XIE,CHN,8.07,8.11
16,SOFIA,BELLESINI,ITA,8.18,8.16
17,JULIA,KOCH,GER,8.28,
18,ASSEL,MARLENOVA,KAZ,8.42,
19,NATSUMI,HAYASHI,JPN,8.79,
20,JIMIN,JEONG,KOR,8.80,
21,FRANZISKA,RITTER,GER,9.65,
22,MANAMI,AIBARA,JPN,9.93,
23,SOPHIA,CURCIO,USA,9.94,
24,SAVEENA,FILLINGHAM,GBR,10.29,
25,HARUKA,KANETANI,JPN,11.50,
26,MARGARITA,AGAMBAYEVA,KAZ,fall,
27,ERICA,VELEV,CAN,false start,
