Rank,Name,,Country,Qualification,Final
1,ASPAR,ASPAR,INA,5.24,5.39
2,KIROMAL,KATIBIN,INA,5.436,5.75
3,LONG,CAO,CHN,5.35,5.16
4,JINBAO,LONG,CHN,5.20,fall
5,VEDDRIQ,LEONARDO,INA,5.06,5.15
6,RAHARJATI,NURSAMSA,INA,5.40,5.30
7,SAMUEL,WATSON,USA,5.46,6.51
8,SEUNGBEOM,LEE,KOR,5.508,5.60
9,JIANGUO,LONG,CHN,5.30,fall
10,EUNCHEOL,SHIN,KOR,5.434,fall
11,ADITYA,TRI SYAHRIA,INA,5.44,false start
12,ERIK,NOYA CARDONA,ESP,5.504,7.89
13,RAHMAD,ADI MULYONO,INA,5.506,fall
14,NOAH,BRATSCHI,USA,5.58,6.41
15,GUILLAUME,MORO,FRA,5.60,5.64
16,JUN,YASUKAWA,JPN,5.625,5.56
17,PENG,WU,CHN,5.629,
18,JOHN,BROSLER,USA,5.63,
19,ALFIAN,MUHAMMAD FAJRI,INA,5.65,
20,YAROSLAV,TKACH,UKR,5.67,
21,ZAENAL,ARIPIN,INA,5.72,
22,MARCIN,DZIENSKI,POL,5.73,
23,SEBASTIAN,LUCKE,GER,5.74,
24,BEKNUR,ALTYNBEKOV,KAZ,5.80,
25,JOE,GOODACRE,USA,5.87,
26,LUDOVICO,FOSSALI,ITA,5.88,
27,YUDAI,IKEDA,JPN,5.96,
28,GLENN,BAKRI,INA,6.09,
29,TAEUNG,MOON,KOR,6.23,
30,RAAMASKI,ASWIN KRISTANTO,INA,6.27,
31,CHEUNG-CHI SHOJI,CHAN,HKG,6.30,
32,LINUS,BADER,GER,6.41,
33,SERGEY,BESMERTNYKH,KAZ,6.45,
34,DEEPU,MALLESH,IND,6.46,
35,CHIA HSIANG,LIN,TPE,6.50 (6.809),
36,CHEUK-NAM,WONG,HKG,6.50 (6.815),
37,YONGJUN,JUNG,KOR,6.57,
38,MINSU,KANG,KOR,6.62,
39,RYO,OMASA,JPN,6.69,
40,YEVGENIY,BRYAKIN,KAZ,6.78,
41,MOCH,RIZKY SAMUDRA DEWANTARA,INA,6.93,
42,CHI-FUNG,AU,HKG,6.94,
43,SAHIL,KHAN,IND,6.97,
44,JULIAN RONAN,DAVID,NZL,7.83,
45,SHUTO,FUJINO,JPN,7.92,
46,MICHAEL,FINN-HENRY,CAN,7.96,
47,AARON,MATTES,AUS,10.55,
48,DANYIL,BOLDYREV,UKR,fall,
48,FLYNN HUGH,CHISHOLM,NZL,fall,
48,LIANG,ZHANG,CHN,fall,
51,REZA,ALIPOUR SHENAZANDIFARD,IRI,false start,
51,LEANDER,CARMANNS,GER,false start,
51,ZACH,HAMMER,USA,false start,
51,HINAYAH,MUHAMMAD,INA,false start,
51,HAJIME,TAKEDA,JPN,false start,
