Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,VEDDRIQ,LEONARDO,INA,5.41,6.96,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
2,KIROMAL,KATIBIN,INA,5.17 (wr) (asr),false start,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
3,RAHMAD,ADI MULYONO,INA,5.48,5.58,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
4,LUDOVICO,FOSSALI,ITA,5.887,fall,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
5,ZAENAL,ARIPIN,INA,5.74,fall,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
6,SEUNG BEOM,LEE,KOR,5.76,5.76,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
7,GUILLAUME,MORO,FRA,5.79,6.26,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
8,TOBIAS,PLANGGER,AUT,5.889,5.69,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
9,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.49,6.40,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
10,ASPAR,ASPAR,INA,5.70,5.71,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
11,ERIK,NOYA CARDONA,ESP,5.78,fall,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
12,ALFIAN,MUHAMMAD FAJRI,INA,5.80,5.79,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
13,YONGJUN,JUNG,KOR,5.85,7.70,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
14,RAHARJATI,NURSAMSA,INA,5.93,8.39,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
15,PIERRE,REBREYEND,FRA,5.94,fall,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
16,SAMUEL,WATSON,USA,5.97,6.64,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
17,LEANDER,CARMANNS,GER,6.01,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
18,JOE,GOODACRE,USA,6.12,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
19,YUDAI,IKEDA,JPN,6.15,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
20,RYO,OMASA,JPN,6.17,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
21,DYLAN,LE,CAN,6.30,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
22,LUKAS,KNAPP,AUT,6.33,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
23,YANN,LE CLERCQ DE LANNOY,FRA,6.36,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
24,MINSU,KANG,KOR,6.387,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
25,NOAH,BRATSCHI,USA,6.388,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
26,QUINN,O'FRANCIA,USA,6.45,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
27,TAEUNG,MOON,KOR,6.53,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
28,AKIHISA,KAJI,JPN,6.72,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
29,GIAN LUCA,ZODDA,ITA,6.89,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
30,EUNCHEOL,SHIN,KOR,6.90,,Seoul_(KOR)_2022,6 May - 8 May 2022,Men
